signal_month,hold_month,ranked,skipped,n_skipped
2016-09,2016-10,"['XLK', 'XLB', 'XLI']",[],0
2016-10,2016-11,"['XLU', 'XLK', 'XLP']",[],0
2016-11,2016-12,"['XLI', 'XLF', 'XLU']",['XLU'],1
2016-12,2017-01,"['XLE', 'XLF', 'XLI']",[],0
2017-01,2017-02,"['XLB', 'XLF', 'XLI']",[],0
2017-02,2017-03,"['XLF', 'XLK', 'XLE']",[],0
2017-03,2017-04,"['XLF', 'XLK', 'XLI']",[],0
2017-04,2017-05,"['XLK', 'XLF', 'XLI']",[],0
2017-05,2017-06,"['XLK', 'XLI', 'XLF']",[],0
2017-06,2017-07,"['XLF', 'XLK', 'XLI']",[],0
2017-07,2017-08,"['XLF', 'XLK', 'XLI']",[],0
2017-08,2017-09,"['XLK', 'XLF', 'XLI']",[],0
2017-09,2017-10,"['XLF', 'XLK', 'XLI']",[],0
2017-10,2017-11,"['XLF', 'XLK', 'XLB']",[],0
2017-11,2017-12,"['XLK', 'XLU', 'XLF']",[],0
2017-12,2018-01,"['XLK', 'XLB', 'XLI']",[],0
2018-01,2018-02,"['XLK', 'XLF', 'XLY']",[],0
2018-02,2018-03,"['XLK', 'XLY', 'XLF']",[],0
2018-03,2018-04,"['XLK', 'XLF', 'XLY']",[],0
2018-04,2018-05,"['XLK', 'XLF', 'XLY']",[],0
2018-05,2018-06,"['XLK', 'XLE', 'XLF']",['XLF'],1
2018-06,2018-07,"['XLK', 'XLY', 'XLE']",[],0
2018-07,2018-08,"['XLK', 'XLY', 'XLE']",[],0
2018-08,2018-09,"['XLY', 'XLK', 'XLE']",[],0
2018-09,2018-10,"['XLY', 'XLK', 'XLV']",[],0
2018-10,2018-11,"['XLY', 'XLK', 'XLV']","['XLY', 'XLK']",2
2018-11,2018-12,"['XLV', 'XLY', 'XLK']",['XLK'],1
2018-12,2019-01,"['XLV', 'XLU', 'XLY']","['XLV', 'XLY']",2
2019-01,2019-02,"['XLU', 'XLV', 'XLY']",[],0
2019-02,2019-03,"['XLU', 'XLV', 'XLY']",[],0
2019-03,2019-04,"['XLU', 'XLK', 'XLV']",[],0
2019-04,2019-05,"['XLK', 'XLP', 'XLU']",[],0
2019-05,2019-06,"['XLU', 'XLP', 'XLV']",['XLV'],1
2019-06,2019-07,"['XLU', 'XLP', 'XLK']",[],0
2019-07,2019-08,"['XLU', 'XLK', 'XLP']",[],0
2019-08,2019-09,"['XLU', 'XLP', 'XLK']",[],0
2019-09,2019-10,"['XLU', 'XLP', 'XLK']",[],0
2019-10,2019-11,"['XLU', 'XLK', 'XLY']",[],0
2019-11,2019-12,"['XLK', 'XLU', 'XLI']",[],0
2019-12,2020-01,"['XLK', 'XLF', 'XLI']",[],0
2020-01,2020-02,"['XLK', 'XLU', 'XLP']",[],0
2020-02,2020-03,"['XLK', 'XLU', 'XLP']","['XLU', 'XLP']",2
2020-03,2020-04,"['XLK', 'XLP', 'XLV']","['XLK', 'XLP', 'XLV']",3
2020-04,2020-05,"['XLK', 'XLV', 'XLP']",['XLP'],1
2020-05,2020-06,"['XLK', 'XLV', 'XLY']",[],0
2020-06,2020-07,"['XLK', 'XLV', 'XLY']",[],0
2020-07,2020-08,"['XLK', 'XLV', 'XLY']",[],0
2020-08,2020-09,"['XLK', 'XLY', 'XLV']",[],0
2020-09,2020-10,"['XLK', 'XLY', 'XLV']",[],0
2020-10,2020-11,"['XLK', 'XLY', 'XLB']",[],0
2020-11,2020-12,"['XLK', 'XLY', 'XLB']",[],0
2020-12,2021-01,"['XLK', 'XLY', 'XLB']",[],0
2021-01,2021-02,"['XLK', 'XLY', 'XLB']",[],0
2021-02,2021-03,"['XLK', 'XLB', 'XLY']",[],0
2021-03,2021-04,"['XLB', 'XLE', 'XLY']",[],0
2021-04,2021-05,"['XLB', 'XLF', 'XLI']",[],0
2021-05,2021-06,"['XLF', 'XLB', 'XLI']",[],0
2021-06,2021-07,"['XLF', 'XLI', 'XLE']",[],0
2021-07,2021-08,"['XLF', 'XLI', 'XLE']",[],0
2021-08,2021-09,"['XLF', 'XLE', 'XLB']",[],0
2021-09,2021-10,"['XLE', 'XLF', 'XLK']",[],0
2021-10,2021-11,"['XLE', 'XLF', 'XLK']",[],0
2021-11,2021-12,"['XLE', 'XLF', 'XLK']",[],0
2021-12,2022-01,"['XLE', 'XLF', 'XLK']",[],0
2022-01,2022-02,"['XLE', 'XLF', 'XLK']",[],0
2022-02,2022-03,"['XLE', 'XLF', 'XLP']",[],0
2022-03,2022-04,"['XLE', 'XLK', 'XLU']",[],0
2022-04,2022-05,"['XLE', 'XLP', 'XLU']",[],0
2022-05,2022-06,"['XLE', 'XLU', 'XLV']",[],0
2022-06,2022-07,"['XLE', 'XLU', 'XLP']",['XLP'],1
2022-07,2022-08,"['XLE', 'XLU', 'XLP']",[],0
2022-08,2022-09,"['XLE', 'XLU', 'XLP']",['XLP'],1
2022-09,2022-10,"['XLE', 'XLU', 'XLP']","['XLU', 'XLP']",2
2022-10,2022-11,"['XLE', 'XLP', 'XLU']","['XLP', 'XLU']",2
2022-11,2022-12,"['XLE', 'XLP', 'XLU']",[],0
2022-12,2023-01,"['XLE', 'XLU', 'XLP']",[],0
2023-01,2023-02,"['XLE', 'XLV', 'XLI']",[],0
2023-02,2023-03,"['XLE', 'XLI', 'XLB']",[],0
2023-03,2023-04,"['XLE', 'XLP', 'XLI']",[],0
2023-04,2023-05,"['XLE', 'XLK', 'XLI']",[],0
2023-05,2023-06,"['XLK', 'XLI', 'XLP']",['XLP'],1
2023-06,2023-07,"['XLK', 'XLI', 'XLY']",[],0
2023-07,2023-08,"['XLK', 'XLI', 'XLE']",[],0
2023-08,2023-09,"['XLK', 'XLI', 'XLE']",[],0
2023-09,2023-10,"['XLK', 'XLE', 'XLI']",['XLI'],1
2023-10,2023-11,"['XLK', 'XLY', 'XLI']","['XLY', 'XLI']",2
2023-11,2023-12,"['XLK', 'XLY', 'XLI']",[],0
2023-12,2024-01,"['XLK', 'XLY', 'XLI']",[],0
2024-01,2024-02,"['XLK', 'XLY', 'XLI']",[],0
2024-02,2024-03,"['XLK', 'XLY', 'XLI']",[],0
2024-03,2024-04,"['XLK', 'XLF', 'XLI']",[],0
2024-04,2024-05,"['XLK', 'XLF', 'XLI']",[],0
2024-05,2024-06,"['XLF', 'XLI', 'XLK']",[],0
2024-06,2024-07,"['XLK', 'XLF', 'XLE']",[],0
2024-07,2024-08,"['XLF', 'XLK', 'XLI']",[],0
2024-08,2024-09,"['XLF', 'XLK', 'XLU']",[],0
2024-09,2024-10,"['XLU', 'XLF', 'XLK']",[],0
2024-10,2024-11,"['XLF', 'XLU', 'XLI']",[],0
